year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1992,7,0.5667396061269148,0.6160520607375272,0.7225672877846792,0.05,-0.06,-0.3,-0.28,-0.15,0.14
1976,12,0.62582056892779,0.6442516268980477,0.6625258799171843,0.78,0.37,0.19,-0.38,-0.21,0.01
1967,5,0.3894967177242889,0.25596529284164854,0.3457556935817806,-0.26,-0.33,-0.42,-0.86,-0.74,-0.62
1979,3,0.5142231947483589,0.44251626898047725,0.48033126293995865,0.02,-0.25,-0.29,-0.47,-0.1,0.28
1990,8,0.5667396061269148,0.5097613882863341,0.49068322981366463,0.22,0.21,0.1,0.35,0.49,0.32
1979,5,0.46389496717724293,0.4945770065075922,0.5031055900621119,-0.29,-0.47,-0.1,0.28,0.11,0.29
1977,7,0.538293216630197,0.4924078091106291,0.46376811594202905,-0.01,0.4,0.63,0.48,0.7,0.62
1967,6,0.4617067833698031,0.36225596529284165,0.28364389233954457,-0.33,-0.42,-0.86,-0.74,-0.62,-0.65
1961,1,0.450765864332604,0.4078091106290672,0.4140786749482402,-0.19,-0.35,-0.46,-0.18,-0.06,-0.41
1988,4,0.4223194748358863,0.5119305856832972,0.5652173913043479,-1.25,-1.74,-1.74,-1.19,-1.0,-1.9
1959,11,0.3741794310722101,0.38611713665943603,0.34161490683229817,-0.42,-0.28,-0.46,-0.3,-0.33,-0.25
1950,10,0.29321663019693656,0.2776572668112798,0.3064182194616978,-1.23,-1.31,-1.3,-1.04,-0.38,-0.23
1950,5,0.1356673960612692,0.15618221258134485,0.21325051759834374,-1.27,-1.01,-0.97,-0.98,-1.03,-1.23
2008,3,0.25382932166301975,0.12798264642082424,0.15942028985507256,-0.99,-0.84,-0.68,-0.3,-0.13,-0.25
1978,11,0.4354485776805252,0.39045553145336226,0.36024844720496896,-0.06,-0.13,-0.22,-0.02,0.02,-0.25
1975,8,0.18599562363238514,0.18872017353579174,0.19668737060041414,-1.66,-1.83,-1.66,-1.93,-2.01,-1.26
1953,1,0.5623632385120351,0.40563991323210413,0.3457556935817806,0.24,0.29,0.22,0.35,0.39,0.14
